【预订】Practical Maya Programming with Python  美国库房发货，通常付款后5-8周到货！ , 579.00
【预订】Raspberry Pi Cookbook for Python Programmers  美国库房发货，通常付款后5-8周到货！ , 581.00
【预订】The Complete Monty Python's Flying Circus: All the Words  美国库房发货，通常付款后5-8周到货！ , 189.00
【预订】Python 101  美国库房发货，通常付款后5-8周到货！ , 281.00
【预订】Python Network Programming Cookbook  美国库房发货，通常付款后5-8周到货！ , 573.00
【预订】Python 2.6 Graphics Cookbook  美国库房发货，通常付款后5-8周到货！ , 519.00
【预订】Monty Python at Work  美国库房发货，通常付款后5-8周到货！ , 232.00
Python in a Nutshell, Second Edition (In a Nutshell) [ISBN: 978-0596100469]  美国发货无法退货，约五到八周到货 , 386.00
Python For Dummies [ISBN: 978-0471778646]  美国发货无法退货，约五到八周到货 , 309.00
Design, Logic, and Programming with Python: A Hands-on Approach [ISBN: 978-0595408108]  美国发货无法退货，约五到八周到货 , 193.00
Coding Club Level 2 Python: Next Steps [ISBN: 978-0521694186]  美国发货无法退货，约五到八周到货 , 145.00
[预定]Natural Language Processing with Python  预订图书 国外库房直发 下订后 60日内发货 , 410.00
Regular Expression Pocket Reference: Regular Expressions for Perl, Ruby, PHP, Python, C, Java and .NET (Pocket Reference (O'Reilly)) [ISBN: 978-0596514273]  美国发货无法退货，约五到八周到货 , 145.00
【预订】Spring Python 1.1  美国库房发货，通常付款后3-5周到货！ , 519.00
【预订】Learning Python Data Visualization  美国库房发货，通常付款后5-8周到货！ , 610.00
【预订】Python for Secret Agents  美国库房发货，通常付款后5-8周到货！ , 360.00
【预订】Python Geospatial Development, Second Edition  美国库房发货，通常付款后5-8周到货！ , 648.00
【预订】Python Data Visualization Cookbook  美国库房发货，通常付款后5-8周到货！ , 513.00
【预订】Opencv Computer Vision with Python  美国库房发货，通常付款后5-8周到货！ , 381.00
【预订】Python 3 Text Processing with Nltk 3 Cookbook  美国库房发货，通常付款后5-8周到货！ , 577.00
【预订】Mastering Object Oriented Python  美国库房发货，通常付款后5-8周到货！ , 592.00
【预订】Learning Geospatial Analysis with Python  美国库房发货，通常付款后5-8周到货！ , 642.00
【预订】Learning Scikit-Learn: Machine Learning in Python  美国库房发货，通常付款后5-8周到货！ , 381.00
【预订】Mastering Python Regular Expressions  美国库房发货，通常付款后5-8周到货！ , 318.00
【预订】Learning Python Design Patterns  美国库房发货，通常付款后5-8周到货！ , 317.00
【预订】Parallel Programming with Python  美国库房发货，通常付款后5-8周到货！ , 294.00
【预订】Python High Performance Programming  美国库房发货，通常付款后5-8周到货！ , 380.00
【预订】Building Probabilistic Graphical Models with Python  美国库房发货，通常付款后5-8周到货！ , 358.00
